| distrType         | samp1 | samp2 |  es | variance | mean(Method1) | mean(Method2) | pVal(Method1, Method2) | typeI | pVal(Method1, Method2)Uncorrected |   sig | sigUncorrected |
|-------------------|-------|-------|-----|----------|---------------|---------------|------------------------|-------|-----------------------------------|-------|----------------|
| normal            |    10 |    10 |   0 |        1 |         0,031 |         0,057 |   1,87474627307907e-09 |  TRUE |              6,50953567041345e-12 |  TRUE |          FALSE |
| normalSkewed      |    10 |    10 |   0 |        1 |         0,029 |         0,054 |   7,29839577032919e-10 |  TRUE |              2,53416519803097e-12 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    10 |   0 |        1 |         0,032 |         0,047 |   5,75591474343796e-05 |  TRUE |              1,99858150813818e-07 |  TRUE |          FALSE |
| normalGamma       |    10 |    10 |   0 |        1 |         0,043 |         0,065 |   1,10171586987032e-07 |  TRUE |              3,82540232593862e-10 |  TRUE |          FALSE |
| normal            |    15 |    10 |   0 |        1 |         0,036 |         0,050 |   0,000237424499660645 |  TRUE |              8,24390623821684e-07 |  TRUE |          FALSE |
| normalSkewed      |    15 |    10 |   0 |        1 |         0,031 |         0,047 |   6,86320435124003e-05 |  TRUE |              2,38305706640279e-07 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    10 |   0 |        1 |         0,025 |         0,046 |   1,92960796437645e-06 |  TRUE |              6,70002765408491e-09 |  TRUE |          FALSE |
| normalGamma       |    15 |    10 |   0 |        1 |         0,047 |         0,062 |   0,000386685190546038 |  TRUE |              1,34265691161819e-06 |  TRUE |          FALSE |
| normal            |    30 |    10 |   0 |        1 |         0,038 |         0,054 |   0,000114015074859534 |  TRUE |              3,95885676595603e-07 |  TRUE |          FALSE |
| normalSkewed      |    30 |    10 |   0 |        1 |         0,037 |         0,048 |    0,00311762529083743 |  TRUE |              1,08250878154077e-05 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    10 |   0 |        1 |         0,044 |         0,056 |     0,0077141443465184 |  TRUE |              2,67852234254111e-05 |  TRUE |          FALSE |
| normalGamma       |    30 |    10 |   0 |        1 |         0,048 |         0,058 |     0,0302871035616857 |  TRUE |              0,000105163554033631 |  TRUE |          FALSE |
| normal            |    10 |    15 |   0 |        1 |         0,029 |         0,047 |   1,49739222428199e-05 |  TRUE |               5,1992785565347e-08 |  TRUE |          FALSE |
| normalSkewed      |    10 |    15 |   0 |        1 |         0,036 |         0,052 |   3,04726210677757e-05 |  TRUE |              1,05807712040888e-07 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    15 |   0 |        1 |         0,036 |         0,053 |   7,31609860115068e-06 |  TRUE |              2,54031201428843e-08 |  TRUE |          FALSE |
| normalGamma       |    10 |    15 |   0 |        1 |         0,047 |         0,057 |                      1 |  TRUE |               0,00493681855632508 |  TRUE |          FALSE |
| normal            |    15 |    15 |   0 |        1 |         0,035 |         0,044 |     0,0502704076905967 |  TRUE |              0,000174550026703461 |  TRUE |          FALSE |
| normalSkewed      |    15 |    15 |   0 |        1 |         0,032 |         0,042 |     0,0916465479307394 |  TRUE |              0,000318217180315067 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    15 |   0 |        1 |         0,048 |         0,062 |   0,000314681620883197 |  TRUE |              1,09264451695554e-06 |  TRUE |          FALSE |
| normalGamma       |    15 |    15 |   0 |        1 |         0,058 |         0,061 |                      1 |  TRUE |                 0,168668618887815 | FALSE |          FALSE |
| normal            |    30 |    15 |   0 |        1 |         0,038 |         0,051 |   0,000456957015537943 |  TRUE |              1,58665630395119e-06 |  TRUE |          FALSE |
| normalSkewed      |    30 |    15 |   0 |        1 |         0,041 |         0,047 |                      1 |  TRUE |                0,0190164736723005 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    15 |   0 |        1 |         0,048 |         0,054 |                      1 |  TRUE |               0,00982327450751926 |  TRUE |          FALSE |
| normalGamma       |    30 |    15 |   0 |        1 |         0,056 |         0,056 |                      1 |  TRUE |                                 1 | FALSE |          FALSE |
| normal            |    10 |    30 |   0 |        1 |         0,040 |         0,057 |   2,61545630923727e-06 |  TRUE |              9,08144551818497e-09 |  TRUE |          FALSE |
| normalSkewed      |    10 |    30 |   0 |        1 |         0,045 |         0,062 |   1,09379879803513e-05 |  TRUE |              3,79791249317754e-08 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    30 |   0 |        1 |         0,036 |         0,049 |   0,000161969983392362 |  TRUE |              5,62395775667923e-07 |  TRUE |          FALSE |
| normalGamma       |    10 |    30 |   0 |        1 |         0,051 |         0,054 |                      1 |  TRUE |                  0,38147056115119 | FALSE |          FALSE |
| normal            |    15 |    30 |   0 |        1 |         0,042 |         0,051 |      0,149830372105986 |  TRUE |              0,000520244347590231 |  TRUE |          FALSE |
| normalSkewed      |    15 |    30 |   0 |        1 |         0,038 |         0,047 |      0,149830372105986 |  TRUE |              0,000520244347590231 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    30 |   0 |        1 |         0,043 |         0,054 |     0,0591482120086706 |  TRUE |              0,000205375736141218 |  TRUE |          FALSE |
| normalGamma       |    15 |    30 |   0 |        1 |         0,063 |         0,059 |                      1 |  TRUE |                 0,302028228109777 | FALSE |          FALSE |
| normal            |    30 |    30 |   0 |        1 |         0,044 |         0,046 |                      1 |  TRUE |                 0,453254704753736 | FALSE |          FALSE |
